,,,sa - 1 - mesh,,sa - 1 - 1hop,, sa - 10 - mesh,,sa - 10 - 1hop,, sa - 100 - mesh,,sa - 100 - 1hop,, sa - 1000 - mesh,,sa - 1000 - 1hop,, 
Bench,N Edges,Visited Edges,Dist Total_x,Edges > 0_x,Num Annotations_x,th_x,Iters_x,Dist Total_y,Edges > 0_y,Num Annotations_y,th_y,Iters_y,Dist Total_x,Edges > 0_x,Num Annotations_x,th_x,Iters_x,Dist Total_y,Edges > 0_y,Num Annotations_y,th_y,Iters_y,Dist Total_x,Edges > 0_x,Num Annotations_x,th_x,Iters_x,Dist Total_y,Edges > 0_y,Num Annotations_y,th_y,Iters_y,Dist Total_x,Edges > 0_x,Num Annotations_x,th_x,Iters_x,Dist Total_y,Edges > 0_y,Num Annotations_y,th_y,Iters_y
BBT-h4-MC=1,31,-1,3,3,0,49.994998499549865,282240,0,0,0,66.65777540677514,282240,3,3,0,49.994998499549865,282240,0,0,0,66.65777540677514,282240,2,2,0,49.994998499549865,282240,0,0,0,66.65777540677514,282240,2,2,0,49.994998499549865,282240,0,0,0,66.65777540677514,282240
idctcol,348,-1,305,113,0,38.38593258081855,2616300,112,75,0,59.88497483824587,2616300,264,116,0,41.57032354653581,2616300,90,62,0,57.012490731762966,2616300,258,121,0,51.5919294081222,2616300,77,57,0,57.051538154214946,2616300,223,104,0,41.10704445449686,2616300,69,57,0,57.04502653655196,2616300
matmul,124,-1,56,38,0,69.91255683805527,972840,11,10,0,79.94241842610364,972840,52,26,0,55.51174543233187,972840,10,9,0,84.14849734826164,972840,50,28,0,68.6632779227916,972840,9,5,0,74.94376968061178,972840,44,26,0,53.281441595137814,972840,6,6,0,85.64818781595407,972840
tree16-4x4,15,-1,0,0,0,99.95999199839967,120840,0,0,0,99.95999199839967,120840,0,0,0,99.95999199839967,120840,0,0,0,99.95999199839967,120840,0,0,0,99.95999199839967,120840,0,0,0,99.95999199839967,120840,0,0,0,99.95999199839967,120840,0,0,0,99.95999199839967,120840
dag15-4x4-MC=1,18,-1,2,2,0,66.64888651820242,120840,1,1,0,79.98079692750841,120840,1,1,0,99.97999599919984,120840,0,0,0,99.96999699969997,120840,1,1,0,99.97999599919984,120840,0,0,0,99.96999699969997,120840,1,1,0,99.97999599919984,120840,0,0,0,99.96999699969997,120840
dag20-5x5-MC=1,21,-1,1,1,0,49.994998499549865,193500,0,0,0,66.64443851693785,193500,1,1,0,49.994998499549865,193500,0,0,0,66.64443851693785,193500,1,1,0,49.994998499549865,193500,0,0,0,66.64443851693785,193500,1,1,0,49.994998499549865,193500,0,0,0,66.64443851693785,193500
dag18-5x5,20,-1,3,3,0,99.93998799759952,193500,0,0,0,99.95999199839967,193500,0,0,0,99.95999199839967,193500,0,0,0,99.95999199839967,193500,0,0,0,99.95999199839967,193500,0,0,0,99.95999199839967,193500,0,0,0,99.95999199839967,193500,0,0,0,99.95999199839967,193500
tree44-7x7-MC=1,44,-1,3,3,0,49.979983987189755,386904,0,0,0,66.63553895410885,386904,3,3,0,49.979983987189755,386904,0,0,0,66.63553895410885,386904,2,2,0,49.979983987189755,386904,0,0,0,66.63553895410885,386904,2,2,0,49.979983987189755,386904,0,0,0,66.63553895410885,386904
tree42-7x7,41,-1,4,3,0,99.8999799959992,386904,0,0,0,99.91998399679936,386904,1,1,0,99.91998399679936,386904,0,0,0,99.91998399679936,386904,1,1,0,99.91998399679936,386904,0,0,0,99.91998399679936,386904,0,0,0,99.91998399679936,386904,0,0,0,99.91998399679936,386904
dag22-5x5,24,-1,0,0,0,99.95999199839967,193500,0,0,0,99.95999199839967,193500,0,0,0,99.95999199839967,193500,0,0,0,99.95999199839967,193500,0,0,0,99.95999199839967,193500,0,0,0,99.95999199839967,193500,0,0,0,99.95999199839967,193500,0,0,0,99.95999199839967,193500
